ISBN	Title	Subtitle	Author	Editorial	Synopsis	Subject	SubjectCode
9789588886213	Cien años de soledad		Gabriel García Márquez	Debolsillo	La saga de la familia Buendía a lo largo de siete generaciones en el mítico pueblo de Macondo, donde lo mágico y lo cotidiano se entremezclan sin distinción. Es la obra cumbre del realismo mágico latinoamericano y una de las novelas más importantes del siglo XX. Su publicación en 1967 transformó para siempre la literatura en español.	LITERATURA LATINOAMERICANA	1313
9786070757679	El amor en los tiempos del cólera		Gabriel García Márquez	Diana	Fermina Daza y Florentino Ariza protagonizan una historia de amor que se extiende por más de cincuenta años, marcada por el rechazo, la espera y la obstinación. García Márquez explora con maestría los laberintos del amor, los celos y el paso del tiempo en un puerto caribeño del siglo XIX. La novela es una celebración poética del amor tardío y la memoria.	LITERATURA LATINOAMERICANA	1313
9789588886121	El coronel no tiene quien le escriba		Gabriel García Márquez	Debolsillo	Un coronel anciano espera durante quince años la carta que le confirme la pensión militar prometida tras una guerra olvidada, sostenido solo por la terquedad y la dignidad. A su lado, un gallo de pelea se convierte en símbolo de esperanza y resistencia en un pueblo sumido en la violencia y el olvido. La novela es un retrato desnudo de la pobreza, la burocracia y el estoicismo latinoamericano.	LITERATURA LATINOAMERICANA	1313
9789588886176	Crónica de una muerte anunciada		Gabriel García Márquez	Debolsillo	Un narrador reconstruye, años después, las circunstancias que rodearon el asesinato de Santiago Nasar en un pueblo del Caribe colombiano, un crimen que todos sabían que iba a ocurrir pero que nadie pudo o quiso evitar. García Márquez examina la culpa colectiva, el honor, y los mecanismos sociales que convierten la tragedia en inevitable. La novela mezcla el reportaje periodístico con la poesía y el fatalismo del realismo mágico.	LITERATURA LATINOAMERICANA	1313
9788497592413	El otoño del patriarca		Gabriel García Márquez	Debolsillo	El retrato de un dictador caribeño que ha gobernado durante más de cien años, construido a través de un torrente narrativo de frases larguísimas y voces superpuestas que recrean el universo del poder absoluto y la soledad. García Márquez explora la corrupción, el miedo y la decadencia de una tiranía sin nombre ni fecha precisa. Es una de las novelas más ambiciosas y experimentales del autor.	LITERATURA LATINOAMERICANA	1313
9786073151498	Rayuela		Julio Cortázar	Debolsillo	Horacio Oliveira, un intelectual argentino en París, busca desesperadamente el kibbutz del deseo, un absoluto imposible de alcanzar, mientras vive una relación intensa con la Maga. La novela puede leerse de forma lineal o saltando entre capítulos según las instrucciones del autor, lo que la convierte en una obra radicalmente innovadora. Rayuela es el manifiesto literario de la contracultura latinoamericana de los años sesenta.	LITERATURA LATINOAMERICANA	1313
9789589016220	Bestiario		Julio Cortázar	Debolsillo	Ocho cuentos en los que lo fantástico irrumpe de manera natural en la vida cotidiana de personajes comunes, sin que el asombro parezca fuera de lugar. Cortázar establece en este primer libro las reglas de su universo narrativo: la ambigüedad, el juego y la presencia de lo inquietante bajo la superficie de lo real. Bestiario es una obra fundacional del cuento fantástico latinoamericano.	LITERATURA LATINOAMERICANA	1313
9789505111930	Las armas secretas		Julio Cortázar	Alfaguara	Cinco cuentos en los que Cortázar explora el horror, el deseo y la identidad desde perspectivas perturbadoras e inesperadas. El relato que da título al volumen es considerado una de las obras maestras del cuento en lengua española por su compleja estructura y su tensión psicológica. La colección marca la madurez del autor como cuentista y su dominio de lo fantástico.	LITERATURA LATINOAMERICANA	1313
9786124262708	La ciudad y los perros		Mario Vargas Llosa	Debolsillo	En el Colegio Militar Leoncio Prado de Lima, un grupo de cadetes sobrevive a la brutalidad institucional mediante la complicidad, la violencia y la traición. La novela, que causó escándalo en el Perú y fue quemada públicamente, denuncia el militarismo y la corrupción moral de una sociedad jerárquica. Es la primera gran novela de Vargas Llosa y uno de los pilares del boom latinoamericano.	LITERATURA LATINOAMERICANA	1313
9786073133258	La tía Julia y el escribidor		Mario Vargas Llosa	Debolsillo	El joven Marito, aspirante a escritor en la Lima de los años cincuenta, se enamora de su tía política Julia mientras trabaja en una radio donde el extravagante Pedro Camacho escribe interminables radionovelas. La novela alterna la autobiografía del autor con las delirantes tramas de las telenovelas de Camacho, que se mezclan y enredan progresivamente. Es una obra festiva y reflexiva sobre la escritura, el amor y la vocación literaria.	LITERATURA LATINOAMERICANA	1313
9786124262555	Conversación en La Catedral		Mario Vargas Llosa	Debolsillo	En un bar miserable de Lima llamado La Catedral, Santiago Zavala y el chofer Ambrosio reconstruyen durante cuatro horas sus vidas marcadas por la corrupción y la dictadura de Odría en el Perú de los años cincuenta. La novela es una investigación moral y política sobre el fracaso de toda una generación y las complicidades que sostienen el poder. Con su compleja estructura temporal, Vargas Llosa la consideró su obra más lograda.	LITERATURA LATINOAMERICANA	1313
9789588611594	Ficciones		Jorge Luis Borges	Debolsillo	Diecisiete relatos que exploran laberintos, bibliotecas infinitas, enciclopedias de mundos imaginarios y hombres que buscan el infinito en el espejo de la literatura. Borges inventa géneros, parodia la erudición y disuelve las fronteras entre la realidad y la ficción con una precisión matemática y una ironía inagotable. Ficciones es el libro que estableció a Borges como uno de los escritores más influyentes del siglo XX.	LITERATURA LATINOAMERICANA	1313
